S.No,startup_name,industry,city,state,funding_requested,valuation_requested,received_offer,accepted_offer,funding_received,investors
229,Manetain,Beauty/Fashion,"Kochi,Mumbai","Kerala,Maharashtra",75,3000,1,1,75,
230,GavinParis,Beauty/Fashion,Kolkata,West Bengal,50,1000,1,0,,
231,UnStop,Technology/Software,Delhi,Delhi,100,10000,1,1,200,
232,BlueTea,Food and Beverage,"Faridabad,Kolkata","Haryana,West Bengal",75,7500,1,1,50,
233,TheGreenSnack,Food and Beverage,Mumbai,Maharashtra,100,5000,1,1,100,
234,HobbyIndia,Lifestyle/Home,Surat,Gujarat,50,1666.666667,1,0,,
235,Flhexible,Lifestyle/Home,Jaipur,Rajasthan,50,666.6666667,0,,,
236,UpThrust,Fitness/Sports/Outdoors,Mumbai,Maharashtra,75,2500,0,,,
237,Zoff,Food and Beverage,Raipur,Chhattisgarh,100,20000,1,1,100,
238,DesiToys,Manufacturing,Mumbai,Maharashtra,50,1666.666667,1,0,,
239,CloudWorx,Technology/Software,Bangalore,Karnataka,40,2000,1,1,40,
240,Mahantam,Manufacturing,Banaskantha,Gujarat,30,300,1,1,30,
241,MindPeers,Medical/Health,Delhi,Delhi,53,5300,1,1,106,
242,Barosi,Food and Beverage,Pataudi,Haryana,50,2500,0,,,
243,Daryaganj,Food and Beverage,Delhi,Delhi,90,18000,1,1,90,
244,DhruvVidyut,Vehicles/Electrical Vehicles,Delhi,Delhi,0,0,1,1,0,
245,CELLBELL,Lifestyle/Home,Ulhasnagar,Maharashtra,90,6000,0,,,
246,Tipayi,Manufacturing,Pune,Maharashtra,50,500,1,0,,
247,DigiQure,Medical/Health,Bhopal,Madhya Pradesh,40,1000,1,1,40,
248,Nirmalaya,Manufacturing,Delhi,Delhi,60,4000,0,,,
249,Pabiben,Beauty/Fashion,Ahmedabad,Gujarat,50,1000,1,1,10,
250,Homestrap,Lifestyle/Home,Indore,Madhya Pradesh,70,7000,1,1,50,
251,uBreathe,Manufacturing,Gurgaon,Haryana,150,2000,1,1,50,
252,Deyor,Technology/Software,Gurgaon,Haryana,100,10000,0,,,
253,iMumz,Medical/Health,Bangalore,Karnataka,70,7000,1,1,10,
254,TheHealthyBinge,Food and Beverage,Pune,Maharashtra,50,1000,1,1,50,
255,Freakins,Beauty/Fashion,Mumbai,Maharashtra,70,7000,1,1,50,
256,Perfora,Lifestyle/Home,"Ballarpur,Karnal","Haryana,Maharashtra",80,8000,1,1,80,
257,MidNightAngelsByPC,Beauty/Fashion,Gurgaon,Haryana,75,1250,1,0,,
258,CureSee,Medical/Health,Gurgaon,Haryana,40,800,1,1,50,
259,MeduLance,Medical/Health,Delhi,Delhi,200,20000,1,1,200,
260,Cakelicious,Food and Beverage,Kolkata,West Bengal,25,500,1,1,25,
